idProducto,codigoProducto,nombreProducto,stock,created_at,updated_at
1,100,"Margarita Cristal Rosca",5027,NULL,NULL
2,101,"Margarita Cristal Fina",1641,NULL,NULL
3,102,"Margarita Cristal Cuadrada",1592,NULL,NULL
4,103,"Margarita Cristal Extriada",1648,NULL,NULL
5,104,"Margarita Cristal NT",529,NULL,NULL
6,105,"Margarita Cristal Hualy",766,NULL,NULL
7,106,"Delta Cristal Rosca",2057,NULL,NULL
8,107,"Delta Cristal Fipalsa ",0,NULL,NULL
9,108,"Delta Cristal Fina",1748,NULL,NULL
10,109,"Delta Cristal Cuadrada",170,NULL,NULL
11,110,"Delta Cristal NT",1003,NULL,NULL
12,111,"Delta Cristal Hualy",0,NULL,NULL
13,112,"Delta Cristal Extriada",892,NULL,NULL
14,113,"Delta Cristal 1/2 Luna",304,NULL,NULL
15,114,"Delta Acrílico Rosca",112,NULL,NULL
16,115,"Delta Acrílico Fino",251,NULL,NULL
17,116,"Delta Acrílico Extriado",249,NULL,NULL
18,117,"Delta Acrílico 1/2 Luna",349,NULL,NULL
19,118,"Delta Acrílico cuadrada",383,NULL,NULL
20,119,"Mediana Cristal Rosca",807,NULL,NULL
21,120,"Mediana Cristal Fina",595,NULL,NULL
22,121,"Mediana Cristal Extriada",474,NULL,NULL
23,122,"Mediana Cristal Cuadrada",109,NULL,NULL
24,123,"Mediana Cristal 1/2 Luna",0,NULL,NULL
25,124,"Mediana Acrílica Rosca",354,NULL,NULL
26,125,"Mediana Acrílica Fina",1623,NULL,NULL
27,126,"Mediana Acrílica Extriada",243,NULL,NULL
28,127,"Mediana Acrílica 1/2 Luna",216,NULL,NULL
29,128,"Mediana Acrílica NT",80,NULL,NULL
30,129,"Mediana Acrílica Cuadrada",158,NULL,NULL
31,130,"Mediana Acrílica Hualy",218,NULL,NULL
32,131,"Margarita Acrílica Chica Rosca",344,NULL,NULL
33,132,"Margarita Acrílica Chica Fina",0,NULL,NULL
34,133,"Margarita Acrílica Chica Cuadrada",691,NULL,NULL
35,134,"Margarita Acrílica Chica Extriada",620,NULL,NULL
36,135,"Margarita Acrílica Chica Hualy",0,NULL,NULL
37,136,"Margarita Acrílica Grande Rosca",0,NULL,NULL
38,137,"Margarita Acrílica Grande Fina",5,NULL,NULL
39,138,"Margarita Acrílica Grande NT",0,NULL,NULL
40,139,"Margarita Acrílica Grande Extriada",207,NULL,NULL
41,140,"Fuguesa Fina",1022,NULL,NULL
42,141,"Fuguesa Extriada",0,NULL,NULL
43,142,"Hely Cristal Chica Rosca",1538,NULL,NULL
44,143,"Hely Cristal Chica Extriada",498,NULL,NULL
45,144,"Hely Cristal Chica Fina",341,NULL,NULL
46,145,"Hely Cristal Chica Cuadrada",182,NULL,NULL
47,146,"Hely Cristal Chica Hualy",50,NULL,NULL
48,147,"Hely Acrílico Chica Rosca",38,NULL,NULL
49,148,"Hely Acrílico Chico Fino",0,NULL,NULL
50,149,"Hely Acrílico Chico Cuadrado",51,NULL,NULL
51,150,"Hely Acrílico Chico Extriado",0,NULL,NULL
52,151,"Hely Acrílico Grande Rosca",0,NULL,NULL
53,152,"Hely Acrílico Grande Fino",335,NULL,NULL
54,153,"Hely Acrílico Grande Cuadrado",54,NULL,NULL
55,154,"Hely Acrílico Grande Extriado",0,NULL,NULL
56,155,"Hely Acrílico Grande NT",0,NULL,NULL
57,156,"Winson Acrílica Grande Rosca",122,NULL,NULL
58,157,"Winson Acrílico Grande Fino",172,NULL,NULL
59,158,"Winson Acrílico Grande Cuadrado",253,NULL,NULL
60,159,"Winson Acrílico Grande Extriado",80,NULL,NULL
61,160,"Winson Acrílico Chico Rosca",17,NULL,NULL
62,161,"Winson Acrílico Chico Fino",0,NULL,NULL
63,162,"Winson Acrilico Chico Cuadrado",0,NULL,NULL
64,163,"Winson Acrilico Chico Extriado",0,NULL,NULL
65,164,"Winson Cristal Grande Rosca",0,NULL,NULL
66,165,"Winson Cristal Grande Fino",0,NULL,NULL
67,166,"Winson Cristal Grande Cuadrado",0,NULL,NULL
68,167,"Winson Cristal Grande Extriado",0,NULL,NULL
69,168,"Winson Cristal Chico Rosca",0,NULL,NULL
70,169,"Winson Cristal Chico Fino",0,NULL,NULL
71,170,"Winson Cristal Chica Extriada",0,NULL,NULL
72,171,"Winson Cristal Chica Cuadrada",0,NULL,NULL
73,172,"Niple Macho - ovni",1481,NULL,NULL
74,173,"Niple Hembra - corona",3826,NULL,NULL
75,174,"Brazos de Ducha Selfi Blanco",442,NULL,NULL
76,175,"Brazos de Ducha Selfi Bone",86,NULL,NULL
77,176,"Brazos de Ducha Selfi Celeste",130,NULL,NULL
78,177,"Brazos de Ducha Selfi Rosado",153,NULL,NULL
79,178,"Brazos de Ducha Verde Claro",126,NULL,NULL
80,179,"Brazos de Ducha Verde Oscuro",13,NULL,NULL
81,180,"Brazos de Ducha Selfi Azul Pastel",187,NULL,NULL
82,181,"Brazos de Ducha Selfi Guinda",87,NULL,NULL
83,182,"Brazos Españoles",261,NULL,NULL
84,183,Zamak,495,NULL,NULL
85,184,Canoplas,2046,NULL,NULL
86,185,Crucetas,0,NULL,NULL
87,186,"Tapitas ",0,NULL,NULL
88,187,"Planchuela de Zamak S/Cromar",0,NULL,NULL
89,188,"Planchuela de Zamak Cromada",0,NULL,NULL
90,189,Rompechorros,0,NULL,NULL
91,190,"Chapitas de galusa",0,NULL,NULL
92,191,Arandelas,0,NULL,NULL
93,192,"Tapas grandes",4292,NULL,NULL
94,193,"Diamantada Acrílica",434,NULL,NULL
95,194,Manubrios,195,NULL,NULL
96,195,"Niple de colores hembra",0,NULL,NULL
97,196,"Brazo pesado blanco",121,NULL,NULL
98,197,"Brazo pesado de colores",302,NULL,NULL
99,198,"Tubo para brazo selfi blanco",0,NULL,NULL
100,199,"Tubo para brazo selfi bone",0,NULL,NULL
101,200,"Tubo para brazo selfi guinda",0,NULL,NULL
102,201,"Tubo para brazo selfi celeste",0,NULL,NULL
103,202,"Tubo para brazo selfi rosado",0,NULL,NULL
104,203,"Tubo para brazo selfi verde claro",0,NULL,NULL
105,204,"Tubo para brazo selfi verde oscuro",0,NULL,NULL
106,205,"Tubo para brazo selfi azul pastel",0,NULL,NULL
107,206,"Niple de colores hembra",0,NULL,NULL
108,207,Piñones,0,NULL,NULL
109,208,"Tuercas para baño",0,NULL,NULL
110,210,"Dispensador azul/blanco",0,NULL,NULL
111,210,"Dispensador blanco/blanco",0,NULL,NULL
112,210,"Dispensador negro/blanco",0,NULL,NULL
113,210,"Dispensador blanco/plomo",0,NULL,NULL
114,210,"Dispensador blanco/negro",0,NULL,NULL
115,210,"Dispensador verde/blanco",0,NULL,NULL
116,211,"Vasos de cristal",0,NULL,NULL
117,212,"Caja de luz negra",45,NULL,NULL
118,213,"Caja de luz azul",45,NULL,NULL
